code | name | quantity | brought_price

BHARATIDIL|Bharati Defence and Infrastructure Limited|100|39.13
GOENKA|Goenka Diamond and Jewels Limited|1000|3.70
HCL-INSYS|HCL Infosystems Limited|200|46.20
HINDALCO|Hindalco Industries Limited|50|108.04
HINDCOPPER|Hindustan Copper Limited|100|92.46
IVRCLINFRA|IVRCL Limited|100|23.64
ICICIBANK|ICICI Bank Limited|70|315.65
JISLJALEQS|Jain Irrigation Systems Limited|100|67.18
JPPOWER|Jaiprakash Power Ventures Limited|200|13.84
JINDALSTEL|Jindal Steel & Power Limited|90|153.08
L&TFH|L&T Finance Holdings Limited|100|68.77
MCLEODRUSS|Mcleod Russel India Limited|50|205.92
MOTHERSUMI|Motherson Sumi Systems Limited|20|301.50
NMDC|NMDC Limited|55|114.27
NTL|Neueon Towers Limited|200|16.51
NTPC|NTPC Limited|50|139.39
ONGC|Oil & Natural Gas Corporation Limited|50|302.20
SHARONBIO|Sharon Bio-Medicine Limited|150|32.03
STERLINBIO|Sterling Biotech Limited|200|7.18